TransactionId,TransactionDateTime,SelfServiceStatus,EventName,EventDate,VenueCountry,VenueCity,Section,Row,SeatFrom,SeatTo,Quantity,ListingNotes,CurrencyCode,TotalSellerNetProceeds,DeliveryMethodName
500345884,13/04/2022 12:41:35 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission VIP,,,,2,,MXN,8996.3800,FedEx Nacional Día Siguiente
500346468,13/04/2022 02:25:48 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,2401.1800,FedEx Nacional Día Siguiente
500350734,13/04/2022 02:48:36 p. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,2401.1400,FedEx Nacional Día Siguiente
500352251,13/04/2022 04:51:59 p. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,1,,MXN,1200.5700,FedEx Nacional Día Siguiente
500375253,15/04/2022 09:47:20 p. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,4140.0000,Entrada electrónica
500376081,16/04/2022 12:00:54 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,4140.0000,Entrada electrónica
500376297,16/04/2022 12:40:39 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,4140.0000,Entrada electrónica
500381241,16/04/2022 04:07:21 p. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,3726.0000,Entrada electrónica
500383071,16/04/2022 07:40:43 p. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission VIP,,,,1,,MXN,4497.5200,Entrada electrónica
500384957,17/04/2022 12:00:08 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,3,,MXN,5589.0000,Entrada electrónica
500385203,17/04/2022 12:48:49 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,4140.0000,Entrada electrónica
500385770,17/04/2022 03:44:41 a. m.,Complete,Pepe Águilar,17/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,4140.0000,Entrada electrónica
500325908,11/04/2022 04:06:02 a. m.,Complete,Carín León - Feria de San Marcos 2022,18/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,1,,MXN,1529.9900,FedEx Nacional Día Siguiente
500346906,13/04/2022 04:11:15 a. m.,Complete,Carín León - Feria de San Marcos 2022,18/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,1,,MXN,1529.9900,FedEx Nacional Día Siguiente
500383319,16/04/2022 08:10:03 p. m.,Complete,Carín León - Feria de San Marcos 2022,18/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,1,,MXN,1529.9900,Entrada electrónica
500385537,17/04/2022 02:20:34 a. m.,Complete,Carín León - Feria de San Marcos 2022,18/04/2022 02:00:00 a. m.,México,Aguascalientes,Gold,,,,3,,MXN,10799.9700,Entrada electrónica
500388984,17/04/2022 02:47:16 p. m.,Complete,Carín León - Feria de San Marcos 2022,18/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,5,,MXN,7649.9500,Entrada electrónica
500329756,11/04/2022 02:38:34 p. m.,Complete,Sebastián Yatra - Feria San Marcos 2022,22/04/2022 08:00:00 p. m.,México,Aguascalientes,General Admission,,,,4,,MXN,3931.1600,FedEx Nacional Día Siguiente
500381217,16/04/2022 04:03:54 p. m.,Complete,Sebastián Yatra - Feria San Marcos 2022,22/04/2022 08:00:00 p. m.,México,Aguascalientes,General Admission,,,,2,,MXN,1202.4600,FedEx Nacional Día Siguiente
500385544,17/04/2022 02:22:07 a. m.,Complete,Sebastián Yatra - Feria San Marcos 2022,22/04/2022 08:00:00 p. m.,México,Aguascalientes,General Admission,,,,3,,MXN,1803.6900,FedEx Nacional Día Siguiente
500400275,18/04/2022 08:12:45 p. m.,Complete,Sebastián Yatra - Feria San Marcos 2022,22/04/2022 08:00:00 p. m.,México,Aguascalientes,General Admission VIP,,,,3,,MXN,7442.9400,FedEx Nacional Día Siguiente
500354760,13/04/2022 08:37:35 p. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,Plata,,,,4,,MXN,5450.5100,FedEx Nacional Día Siguiente
500383892,16/04/2022 09:18:24 p. m.,Complete,El Costeño y Teo González - Feria San Marcos 2022,19/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission VIP,,,,9,,MXN,11952.0900,Entrada electrónica
500398018,18/04/2022 04:23:07 p. m.,Complete,El Costeño y Teo González - Feria San Marcos 2022,19/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission VIP,,,,4,,MXN,5368.4400,Entrada electrónica
500400273,18/04/2022 08:12:37 p. m.,Complete,El Costeño y Teo González - Feria San Marcos 2022,19/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission VIP,,,,2,,MXN,2142.0000,Entrada electrónica
500400477,18/04/2022 08:37:09 p. m.,Complete,El Costeño y Teo González - Feria San Marcos 2022,19/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission VIP,,,,2,,MXN,2142.0000,Entrada electrónica
500401590,18/04/2022 11:20:05 p. m.,Complete,El Costeño y Teo González - Feria San Marcos 2022,19/04/2022 02:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,612.0000,Entrada electrónica
500402805,19/04/2022 04:20:28 a. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,VIP,,,,2,,MXN,3420.6800,FedEx Nacional Día Siguiente
500406947,19/04/2022 03:22:34 p. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,VIP,,,,4,,MXN,6841.3600,FedEx Nacional Día Siguiente
500421445,20/04/2022 05:28:49 p. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,1441.0800,FedEx Nacional Día Siguiente
500426202,21/04/2022 01:56:48 a. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,VIP,,,,4,,MXN,2882.1600,Entrada electrónica
500450941,23/04/2022 03:53:47 a. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,1441.0800,Entrada electrónica
500457098,23/04/2022 06:00:12 p. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,1441.0800,Entrada electrónica
500459256,23/04/2022 09:45:58 p. m.,Complete,Edith Marquez - Feria San Marcos 2022,24/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,1441.0800,Entrada electrónica
500413286,20/04/2022 01:08:57 a. m.,Complete,Los 2 Carnales - Feria San Marcos 2022,21/04/2022 02:00:00 a. m.,México,Aguascalientes,General,,,,2,,MXN,1607.2600,Entrada electrónica
500413749,20/04/2022 02:26:11 a. m.,Complete,Los 2 Carnales - Feria San Marcos 2022,21/04/2022 02:00:00 a. m.,México,Aguascalientes,Plata,,,,3,,MXN,3781.3800,Entrada electrónica
500414021,20/04/2022 03:19:04 a. m.,Complete,Los 2 Carnales - Feria San Marcos 2022,21/04/2022 02:00:00 a. m.,México,Aguascalientes,Gold,,,,4,,MXN,6770.9600,Entrada electrónica
500426054,21/04/2022 01:31:00 a. m.,Complete,Los 2 Carnales - Feria San Marcos 2022,21/04/2022 02:00:00 a. m.,México,Aguascalientes,Plata,,,,2,,MXN,2754.0000,Entrada electrónica
500426069,21/04/2022 01:33:58 a. m.,Complete,Los 2 Carnales - Feria San Marcos 2022,21/04/2022 02:00:00 a. m.,México,Aguascalientes,Plata,,,,2,,MXN,2754.0000,Entrada electrónica
500496377,27/04/2022 04:07:10 p. m.,Complete,Grupo Firme,28/04/2022 02:00:00 a. m.,México,Aguascalientes,Lateral Poniente Bajo,,,,2,,MXN,5490.9800,Entrada electrónica
500501298,28/04/2022 01:12:01 a. m.,Complete,Grupo Firme,28/04/2022 02:00:00 a. m.,México,Aguascalientes,VIP,,,,2,,MXN,7650.0000,Entrada electrónica
500330781,11/04/2022 04:18:14 p. m.,Complete,Alejandro Fernandez,01/05/2022 04:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,3950.9800,FedEx Nacional Día Siguiente
500333119,11/04/2022 08:13:42 p. m.,Complete,Alejandro Fernandez,01/05/2022 04:00:00 a. m.,México,Aguascalientes,General Admission,,,,2,,MXN,3941.9800,FedEx Nacional Día Siguiente
